VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1,02/09/2022 12:06:08 AM,02/09/2022 12:13:59 AM,Y,1,49,62,1,1.3,7.5,0.5,0.5,3,0,,0.3,11.8,1,1,0
2,02/09/2022 12:07:40 AM,02/09/2022 12:26:11 AM,N,1,260,134,1,7.77,24,0.5,0.5,0,0,,0.3,25.3,1,1,0
2,02/09/2022 12:07:49 AM,02/09/2022 12:12:58 AM,N,1,134,134,1,0.9,5.5,0.5,0.5,1.7,0,,0.3,8.5,1,1,0
2,02/09/2022 12:08:38 AM,02/09/2022 12:13:29 AM,N,5,129,129,1,0.93,12,0,0,0,0,,0.3,12.3,2,2,0
2,02/09/2022 12:09:16 AM,02/09/2022 12:11:40 AM,N,1,127,127,1,0.55,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
2,02/09/2022 12:11:09 AM,02/09/2022 12:13:47 AM,N,1,74,263,1,1.2,5,0.5,0.5,0,0,,0.3,9.05,2,1,2.75
2,02/09/2022 12:15:11 AM,02/09/2022 12:23:49 AM,N,1,242,250,1,1.03,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,02/09/2022 12:16:44 AM,02/09/2022 12:34:37 AM,N,1,41,42,1,2.46,11.5,0.5,0.5,0,0,,0.3,12.8,2,1,0
2,02/09/2022 12:24:07 AM,02/09/2022 12:26:47 AM,N,1,75,75,1,0.62,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
2,02/09/2022 12:24:34 AM,02/09/2022 12:32:11 AM,N,1,116,116,1,0.93,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,02/09/2022 12:27:02 AM,02/09/2022 12:41:07 AM,N,1,123,26,1,3.36,13,0.5,0.5,0,0,,0.3,14.3,2,1,0
1,02/09/2022 12:28:03 AM,02/09/2022 12:39:34 AM,N,1,74,236,1,2.4,10.5,3.25,0.5,2.9,0,,0.3,17.45,1,1,2.75
2,02/09/2022 12:28:37 AM,02/09/2022 12:38:00 AM,N,1,260,7,1,2.04,9,0.5,0.5,0,0,,0.3,10.3,2,1,0
2,02/09/2022 12:35:21 AM,02/09/2022 12:44:35 AM,N,1,130,197,1,2.26,9.5,0.5,0.5,3.24,0,,0.3,14.04,1,1,0
2,02/09/2022 12:35:31 AM,02/09/2022 12:42:35 AM,N,1,240,265,1,1.87,8,0.5,0.5,1.86,0,,0.3,11.16,1,1,0
2,02/09/2022 12:35:36 AM,02/09/2022 01:07:41 AM,N,1,198,258,2,6.24,24,0.5,0.5,0,0,,0.3,25.3,2,1,0
2,02/09/2022 12:46:26 AM,02/09/2022 12:51:59 AM,N,1,159,69,1,1.02,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
